Feature1,Feature2,Target
-0.118192714,0.309408119,1
0.409426898,-0.434405407,1
1.229937385,-0.210990997,0
1.981178869,0.257237744,1
1.625934204,-0.617482966,1
-0.472291616,0.878888915,0
2.192799683,0.328102442,1
0.960354135,0.077361355,0
-0.790501055,1.31421158,0
2.237470292,0.06894621,1
1.414529152,-0.518533021,1
0.610237507,0.683805557,0
1.233649984,-0.556688892,1
0.586796523,-0.251126721,1
0.81754217,0.666592737,0
0.580221038,0.932275998,0
0.058137766,0.896289048,0
0.579846614,-0.567698327,1
1.929656615,0.156016477,1
0.992711133,-0.027168436,0
2.027815527,0.363122856,1
1.338652267,-0.823465756,1
1.598191518,-0.411064707,1
0.976142984,-0.190358151,0
1.61250291,-0.521032611,1
1.35546992,-0.490609874,1
0.499861695,1.058450639,0
1.015369625,0.207315117,0
1.018118245,0.456516401,0
1.096461863,-0.280727167,1
-1.194040968,0.416441978,0
0.568309164,0.647458129,0
0.960588057,0.208865115,0
1.449178024,-0.459902987,1
1.88199633,0.466290375,1
0.631996864,-0.309905342,1
0.654989783,-0.253093095,1
0.84516718,0.285090431,0
0.401198088,0.436221932,0
0.527232031,0.768876824,0
0.372940088,-0.3860018,1
2.066393868,-0.539216929,1
1.430582326,-0.388926174,1
0.189907716,-0.056403166,1
0.882697896,-0.734363957,1
-1.190098679,0.637042186,0
-0.894856639,0.556642259,0
0.70215789,-0.187835487,1
1.950487011,-0.345075672,1
0.022418039,1.004134807,0
0.849971596,-0.21483451,1
2.036410764,-0.025556022,1
0.275048593,-0.408398856,1
-0.108810254,0.159667885,1
0.938494136,0.64097432,0
-0.236808252,0.341747012,1
0.835324588,0.327895824,0
0.833630821,0.38695039,0
0.602538337,-0.450144939,1
-1.316428825,0.754775796,0
1.844066074,0.193577285,1
1.064502653,-0.496454037,1
0.642658768,-0.020278558,1
1.016500344,-0.411243574,1
1.975868019,-0.0481966,1
0.993444732,-0.573538352,1
0.261224684,1.209148214,0
1.207647248,-0.681878027,1
1.029184593,0.662369558,0
-0.896113151,0.767599977,0
0.447930908,-0.476552598,1
1.193378751,-0.671368037,1
0.986163944,0.389985835,0
1.515764334,0.093743109,1
0.869459733,0.054546438,0
1.063058924,-0.003285827,1
0.094687292,-0.154667249,1
-0.215654363,1.093575329,0
-1.106925474,0.335575538,0
1.284327882,0.263986996,0
-1.337557833,-0.00412942,0
0.340293431,0.213608836,1
1.058099207,-0.020903818,0
-0.360133801,1.078035323,0
-0.644516105,0.488370431,0
-0.906095366,0.215727927,0
-0.652783156,1.173715873,0
1.022420252,0.192338596,0
-0.780675441,0.879523891,0
0.916308838,0.419944074,0
0.087696458,1.06618628,0
-0.495034594,0.721509893,0
0.604990594,-0.164890834,1
1.155923352,-0.549577539,1
0.071604266,1.697739637,0
-0.994669061,-0.007707493,0
1.480666468,-0.397497896,1
0.202685948,0.755654894,0
0.760454103,-0.180150242,0
0.029265726,0.06831265,1
-0.96321318,0.368704483,0
-1.070563993,0.553634924,0
0.046489389,0.953371901,0
0.486832393,-0.538941402,1
0.22261155,-0.15254824,1
2.179258079,0.541416792,1
-0.64634876,0.06402454,0
0.506319646,-0.86308181,1
2.114109853,-0.398015027,1
-0.03509274,0.108265231,1
-0.029109978,0.427875674,1
-0.140841702,0.661982894,0
0.266868529,-0.14631097,1
-0.998676417,0.116940821,0
0.082773572,0.961283817,0
0.941346049,-0.384150223,1
1.501332258,-0.275121139,1
0.29313361,0.37612275,1
0.539404176,0.643377656,0
0.189764846,0.00193534,1
1.556984609,-0.165952231,1
-0.24062961,0.071192873,1
0.919671265,0.383063909,0
-0.672636342,1.001715405,0
1.09642227,0.907604584,0
1.130676385,0.057702229,0
1.380338971,-0.376954849,1
0.090890973,0.118510932,1
1.858138806,0.239015185,1
0.179356967,-0.183583258,1
0.482296078,-0.651576504,1
0.761994902,0.633107619,0
2.473241953,7.86E-05,1
-0.245505241,0.336720392,0
-0.349850263,0.356718546,0
0.221741674,0.790938927,0
0.453347673,0.734276866,0
0.701948022,1.279234222,0
0.313783222,-0.62045118,1
-0.73809991,0.409950052,0
-0.650429008,0.41313687,0
0.81779875,-0.780491191,1
1.295782411,-0.615319879,1
-0.882350817,0.7161834,0
1.225622536,-0.199088478,1
1.701879096,0.109120994,1
-0.845272933,0.584193311,0
0.159783489,0.90737903,0
0.20528482,0.854610183,0
1.167600439,-0.072608591,1
-1.002638614,0.325598778,0
-0.771454661,0.289385589,0
1.657852572,-0.432481714,1
-1.140596214,0.368647611,0
0.05651217,-0.27020989,1
1.222078237,-0.107769216,1
0.166799331,-0.092400646,1
1.382139915,-0.54972713,1
-0.060441546,1.072743677,0
0.734895361,0.442755242,0
0.803896949,-0.493066015,1
1.953519644,-0.175476112,1
2.414351092,0.333630678,1
0.775111425,-0.812628459,1
-0.348238275,0.963577238,0
0.366964433,-0.310046727,1
-0.790850087,0.103205044,0
0.172920477,0.768141966,0
-0.028795956,0.686002968,0
0.796633375,0.482423152,0
0.849063798,0.672392408,0
0.361955413,0.991183959,0
0.119040405,-0.367741577,1
-0.492589106,0.625064565,0
-0.54233366,0.469779538,0
1.763243475,0.309898796,1
-1.153543233,-0.07626472,0
1.071246403,-0.310178222,0
0.906786599,0.546905393,0
2.090023124,0.414629671,1
2.083480948,0.249232463,1
1.186357975,-0.187071486,0
0.738270466,-0.307318366,1
1.891660982,-0.294302439,1
-0.77720761,0.938230073,0
0.405869823,0.838221554,0
-0.701489744,0.255676765,0
0.387436461,0.895997608,0
-0.426901469,0.796977399,0
1.252474088,0.419778642,0
-1.322590514,0.450941153,0
0.247652562,-0.108573295,1
-0.850472738,0.854716727,0
-0.507554218,1.177745763,0
0.54236405,1.049010618,0
-0.125318758,0.557509852,1
1.370866032,-0.322147727,1
1.825410945,-0.379217248,1
1.562090065,0.210769453,1
0.434462285,0.950519364,0
0.131676796,0.935932583,0
1.229664001,0.725615425,0
0.312860044,0.989189572,0
1.90131256,0.15072306,1
0.193500004,1.050598819,0
0.03392665,0.407114286,1
1.651426238,-0.379391344,1
2.053219604,-0.039639925,1
0.243898894,-0.03794715,1
-1.113157386,0.744162073,0
-1.331684771,0.319815034,0
0.127646667,0.956519535,0
0.998491626,-0.49700126,1
0.662523004,0.055986284,0
-0.777262489,0.055346478,0
-0.731865243,0.305513652,0
-0.640417258,0.809781443,0
-0.76055756,0.491641159,0
1.151879338,-0.336581332,1
0.800560366,-0.542805923,1
0.884866314,0.583140372,0
0.925878139,0.740087536,0
0.874841419,0.430962575,0
-0.198712663,0.913528351,0
2.103667833,0.397014915,1
2.059901907,-0.231619581,1
0.473996884,-0.27048088,1
-0.57451854,0.584002067,0
-0.701419019,0.397124136,0
0.711614355,0.782885753,0
-0.496588268,1.302124802,0
0.066449298,0.784290559,0
0.538144645,-0.130769101,1
1.755682505,0.025561113,1
-0.849798595,0.931951784,0
0.333367885,-0.132341271,1
0.705602088,-0.229055609,1
-0.873354454,-0.49267613,0
-0.825327122,0.67304811,0
1.517665755,-0.523883147,1
0.120672904,-0.07052083,1
0.725710646,0.762302198,0
0.344673,0.208553298,1
0.263766538,0.049840726,1
-0.88392615,0.497464642,0
-1.156119607,0.170227029,0
1.248965737,0.369726326,0
0.952682479,-0.36811615,1
1.727901537,0.0372861,1
-0.767097925,0.709731654,0
1.165707539,0.769217807,0
0.049487533,0.720903576,0
-0.539098522,0.824388711,0
-0.982058703,0.288854587,0
1.528935488,-0.112802146,1
-0.672473504,0.686282233,0
0.895096305,0.665784299,0
-0.00760403,0.924168238,0
-0.240290739,1.021991518,0
-0.283467781,1.045292529,0
-1.026508891,0.459402069,0
1.588325794,-0.338967375,1
-0.348265559,1.213028067,0
0.77874607,-0.653521284,1
1.806149473,0.021203959,1
-0.129694598,0.725221931,0
-0.373456638,0.592067642,0
0.990046473,-0.464129679,1
1.772713799,-0.601498909,1
0.631039539,1.099329971,0
1.856709577,-0.190336881,1
0.018943698,0.21532497,1
0.172846724,0.604169382,0
0.557979808,0.757427667,0
0.080418897,0.119262443,1
-0.897248067,0.438920507,0
0.261996093,0.918375619,0
0.678953635,-0.435800274,1
1.210765492,-0.599573281,1
0.557261634,0.939216926,0
0.134711277,1.06457682,0
1.607493338,0.190921234,1
1.420577116,-0.148027678,1
1.744704015,-0.140667505,1
-0.215743207,1.230288577,0
0.750635451,-0.116643372,1
1.778321698,-0.54794534,1
0.957379288,0.795259767,0
-0.10590001,-0.197994179,1
1.851059402,-0.071373547,1
0.338727554,-0.211027921,1
1.960801446,-0.089686612,1
-0.17839517,0.727372153,1
-0.380811187,0.995282564,0
-1.215691519,0.453117521,0
-0.283985656,0.10845028,1
0.859746592,-0.59355665,1
-0.235539753,0.951239001,0
0.304995074,-0.57115376,1
